NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
516,Amherstia,MBA,2.08,1.48,71,D,75.2,2.7,4,4.63e+17,3.25e+17,70,-,M,X,-,-,-,X,8.01,7.6,95,D
517,Edith,MBA,2.44,1.36,56,D,80.8,6.9,9,6.74e+17,3.35e+17,50,-,X,-,X,C,-,-,-,-,-,-
521,Brixia,MBA,0.68,0.35,51,D,113.2,5.8,5,5.17e+17,2.51e+17,49,Y,C,Ch,Caa,Ch,-,-,-,-,-,-
532,Herculina,MBA,2.37,0.92,39,C,215.2,11.8,6,1.24e+19,4.35e+18,35,Y,S,S,-,-,S,S,2.12,0.53,25,C
535,Montague,MBA,0.74,0.38,51,D,74.0,2.9,4,1.58e+17,7.86e+16,50,-,C,-,-,-,-,-,-,-,-,-
536,Merapi,MBA,5.39,4.77,88,D,155.6,5.9,4,1.06e+19,9.31e+18,88,-,X,-,X,X,-,X,13.36,2.59,19,X
545,Messalina,OMB,1.36,0.68,50,C,117.2,3.9,3,1.15e+18,5.63e+17,49,-,CD,Cb,C,Cb,-,-,-,-,-,-
547,Praxedis,MBA,2.52,1.47,58,D,47.9,4.8,10,1.45e+17,7.25e+16,50,-,XD:,Xk,T,T,-,-,-,-,-,-
554,Peraga,MBA,1.58,0.23,15,B,96.0,1.7,2,7.30e+17,1.00e+17,14,-,FC,Ch,-,-,-,Ch,1.4,0.15,11,B
566,Stereoskopia,OMB,1.91,0.49,25,C,173.9,6.3,4,5.26e+18,1.21e+18,23,Y,C,-,-,-,-,-,-,-,-,-
568,Cheruskia,MBA,0.95,0.49,52,D,88.2,3.9,4,3.41e+17,1.70e+17,50,-,-,-,C,C,-,-,-,-,-,-
569,Misa,MBA,1.32,0.67,51,D,75.1,2.7,4,2.93e+17,1.46e+17,50,-,C,Cg,Caa,Ch,-,-,-,-,-,-
582,Olympia,MBA,9.98,27.31,274,X,43.4,1.5,4,4.28e+17,1.17e+18,273,-,S,-,-,-,-,S,10.0,27.35,274,X
584,Semiramis,MBA,2.87,2.89,101,E,51.5,2.3,4,2.05e+17,2.05e+17,100,-,S,Sl,-,-,-,S,11.31,8.06,71,X
585,Bilkis,MBA,0.33,0.18,55,D,60.2,3.8,6,3.72e+16,1.93e+16,52,-,C,-,-,-,-,-,-,-,-,-
591,Irmgard,MBA,2.48,1.26,51,D,54.1,2.5,5,2.05e+17,1.01e+17,49,-,X,-,-,-,-,-,-,-,-,-
593,Titania,MBA,1.75,0.88,50,D,77.1,2.9,4,4.20e+17,2.05e+17,49,-,C,-,-,-,-,-,-,-,-,-
595,Polyxena,OMB,0.83,0.42,51,D,113.1,3.2,3,6.27e+17,3.13e+17,50,-,-,-,T,T,-,-,-,-,-,-
596,Scheila,MBA,3.42,2.63,77,D,112.6,3.6,3,2.56e+18,1.95e+18,76,-,PCD,T,-,-,T,-,-,-,-,-
598,Octavia,MBA,0.88,0.55,62,D,66.9,8.2,12,1.38e+17,6.90e+16,50,-,C:,X,D,Cb,-,-,-,-,-,-
599,Luisa,MBA,2.06,1.04,50,D,76.5,3.5,5,4.82e+17,2.33e+17,48,-,S,K,-,-,L,-,-,-,-,-
602,Marianna,MBA,1.04,0.51,49,C,127.8,2.2,2,1.14e+18,5.52e+17,49,-,C,-,Caa,Ch,-,Ch,9.29,0.76,8,X
604,Tekmessa,MBA,2.41,1.22,51,D,65.9,1.8,3,3.61e+17,1.80e+17,50,-,-,Xc,-,-,-,Xc,10.35,2.46,24,X
617,Patroclus,MBA,0.94,0.09,9,B,140.4,2.3,2,1.36e+18,1.09e+17,8,-,P,-,-,-,-,X,0.88,0.17,19,B
618,Elfriede,MBA,2.16,1.59,74,D,117.4,19.7,17,1.83e+18,9.81e+17,54,-,C,-,C,C,-,-,-,-,-,-
623,Chimaera,MBA,0.89,0.45,51,D,47.5,1.4,3,4.99e+16,2.50e+16,50,-,XC,-,-,-,-,-,-,-,-,-
